Numero,Mercadoria,Caloria,Proteina,Calcio,VitaminaA,Tiamina,Riboflavina,Niacina,AcidoAscorbico
1,Farinhadetrigo(enriquecida),44.7,1411,2.0,365,0,55.4,33.3,441,0
5,Farinha de milho,36.0,897,1.7,99,30.9,17.4,7.9,106,0
15,Leite evaporado (lata),8.4,422,15.1,9,26.0,3.0,23.5,11,60
17,Margarina,20.6,17,0.6,6,55.8,0.2,0,0,0
19,Queijo (cheddar),7.4,448,16.4,19,28.1,0.8,10.3,4,0
21,Pasta de amendoim,15.7,661,1.0,48,0,9.6,8.1,471,0
24,Bacon,41.7,0,0,0,0.2,0,5,5,0
30,Fígado (boi),2.2,333,0.2,139,169.2,6.4,50.8,316,525
34,Lombo de porco assado,4.4,249,0.3,37,0,18.2,3.6,79,0
40,Salmão. rosa (lata),5.8,705,6.8,45,3.5,1.0,4.9,209,0
45,Feijão verde,2.4,138,3.7,80,69.0,4.3,5.8,37,862
46,Repolho,2.6,125,4.0,36,7.2,9.0,4.5,26,5369
50,Cebola,5.8,166,3.8,59,16.6,4.7,5.9,21,1184
51,Batatas,14.3,336,1.8,118,6.7,29.4,7.1,198,2522
52,Espinafre,1.1,106,0,138,918.4,5.7,13.8,33,2755
53,Batata-doce,9.6,138,2.7,54,290.7,8.4,5.4,83,1912
64,Pêssegos. secos,8.5,87,1.7,173,86.8,1.2,4.3,65,257
65,Ameixas secas,12.8,99,2.5,154,85.7,3.9,4.3,65,257
68,Feijão verde. seco,17.4,1055,3.7,459,5.1,26.9,38.2,93,0
69,Feijão branco. seco,26.9,1691,11.4,792,0,38.4,24.6,217,0
